education,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_80,awards_won_status,avg_training_score,is_promoted,department_Sales & Marketing,department_Operations,department_Technology,department_Analytics,department_R&D,department_Procurement,department_Finance,department_HR,department_Legal
2,1,1.0675177691389857,4.0,1.123499903031645,1,0,1.3669050338642568,1,0,0,0,0,0,1,0,0,0
3,1,1.0787512011053229,5.0,1.1775740736881788,1,0,1.3468745446974844,1,1,0,0,0,0,0,0,0,0
3,1,1.0823293342120839,5.0,1.096675611268859,0,1,1.3784938958210884,1,0,0,0,0,0,1,0,0,0
2,1,1.076015646255253,3.0,1.1908568493649683,0,0,1.3770393956388947,1,0,0,0,1,0,0,0,0,0
2,2,1.0787512011053229,5.0,1.1908568493649683,0,0,1.3765359497647018,1,0,0,1,0,0,0,0,0,0
2,1,1.0632266200682057,5.0,1.096675611268859,1,0,1.3654424361987696,1,0,0,0,0,0,1,0,0,0
3,1,1.088063048542943,3.0,1.1775740736881788,1,0,1.3527890399129072,1,0,1,0,0,0,0,0,0,0
2,1,1.0787512011053229,4.0,1.1775740736881788,1,0,1.342830468462,1,1,0,0,0,0,0,0,0,0
3,1,1.0787512011053229,4.0,1.1447574547386097,1,1,1.3794197080796526,1,1,0,0,0,0,0,0,0,0
3,1,1.08340332878289,5.0,1.0599527833972817,1,1,1.378961017831884,1,0,1,0,0,0,0,0,0,0
2,2,1.0823293342120839,2.0,1.123499903031645,1,0,1.3538657865427755,1,0,1,0,0,0,0,0,0,0
2,1,1.0712484128589217,4.0,1.0599527833972817,1,0,1.3798702060568093,1,0,0,0,0,0,1,0,0,0
3,1,1.0853990115075853,5.0,1.1447574547386097,0,1,1.3738656157866587,1,0,0,0,1,0,0,0,0,0
3,1,1.0787512011053229,3.0,1.096675611268859,0,0,1.3689743630856306,1,0,1,0,0,0,0,0,0,0
1,1,1.058234947032813,5.0,1.0599527833972817,0,0,1.3588041195581453,1,1,0,0,0,0,0,0,0,0
2,2,1.0654500277575525,5.0,1.0599527833972817,1,0,1.3639072904844702,1,0,0,0,0,0,1,0,0,0
2,1,1.076015646255253,5.0,1.1447574547386097,0,1,1.3744211851204702,1,0,0,0,0,0,1,0,0,0
3,1,1.072937349493929,4.0,1.0599527833972817,1,0,1.3803127420255474,1,0,0,0,0,1,0,0,0,0
2,1,1.0896523900198498,4.0,1.255427581430048,0,0,1.360595094953084,1,1,0,0,0,0,0,0,0,0
2,1,1.0787512011053229,5.0,1.1447574547386097,0,0,1.3569125215141475,1,1,0,0,0,0,0,0,0,0
1,1,1.0608288684876919,2.0,1.0599527833972817,1,0,1.3481342996874164,1,1,0,0,0,0,0,0,0,0
3,1,1.0823293342120839,3.0,1.2133888504649772,1,0,1.3442250507357623,1,1,0,0,0,0,0,0,0,0
2,1,1.0800081603531466,5.0,1.2133888504649772,1,0,1.3559261283610535,1,0,1,0,0,0,0,0,0,0
2,1,1.0774225157975732,3.0,1.123499903031645,1,0,1.3696332854090045,1,0,0,1,0,0,0,0,0,0
2,1,1.076015646255253,5.0,1.1908568493649683,1,0,1.3398880741148798,1,1,0,0,0,0,0,0,0,0
2,1,1.0896523900198498,3.0,1.123499903031645,0,1,1.3614554650555442,1,0,1,0,0,0,0,0,0,0
3,1,1.0918014267867777,3.0,1.255427581430048,0,0,1.3646842855292767,1,0,1,0,0,0,0,0,0,0
3,1,1.0896523900198498,3.0,1.2622520321121156,0,0,1.3760227184763127,1,0,0,0,0,0,1,0,0,0
3,3,1.076015646255253,3.0,1.123499903031645,1,0,1.360595094953084,1,0,1,0,0,0,0,0,0,0
3,1,1.0774225157975732,5.0,1.1624243666483425,0,0,1.368300388016594,1,0,1,0,0,0,0,0,0,0
2,1,1.0800081603531466,4.0,1.2133888504649772,1,0,1.3455722391108365,1,1,0,0,0,0,0,0,0,0
2,1,1.0774225157975732,5.0,1.1908568493649683,1,0,1.3559261283610535,1,0,1,0,0,0,0,0,0,0
2,1,1.0787512011053229,2.0,1.1775740736881788,1,0,1.3442250507357623,1,1,0,0,0,0,0,0,0,0
2,1,1.0811991534115448,5.0,1.096675611268859,1,0,1.378018092849307,1,0,0,0,1,0,0,0,0,0
3,2,1.0800081603531466,5.0,1.1624243666483425,1,0,1.378018092849307,1,0,0,0,0,0,1,0,0,0
2,1,1.072937349493929,5.0,1.0,0,0,1.3803127420255474,1,0,0,0,0,1,0,0,0,0
2,1,1.0694459239846008,0.0,1.0,0,0,1.3732985906880881,1,0,0,0,0,0,1,0,0,0
2,2,1.076015646255253,5.0,1.096675611268859,1,0,1.3738656157866587,1,0,0,0,0,1,0,0,0,0
2,1,1.0853990115075853,3.0,1.2748024528478872,1,0,1.3516792214038902,1,1,0,0,0,0,0,0,0,0
0,1,1.0608288684876919,0.0,1.0,0,0,1.3676108058528884,1,0,1,0,0,0,0,0,0,0
3,1,1.084425301488473,1.0,1.2133888504649772,1,0,1.3481342996874164,1,1,0,0,0,0,0,0,0,0
1,1,1.0608288684876919,3.0,1.0599527833972817,1,1,1.372719729532214,1,1,0,0,0,0,0,0,0,0
2,1,1.09111384322096,4.0,1.2622520321121156,1,0,1.342830468462,1,1,0,0,0,0,0,0,0,0
2,1,1.076015646255253,4.0,1.123499903031645,1,1,1.3538657865427755,1,0,1,0,0,0,0,0,0,0
3,1,1.0774225157975732,4.0,1.096675611268859,1,0,1.3794197080796526,1,1,0,0,0,0,0,0,0,0
2,4,1.076015646255253,5.0,1.1908568493649683,0,0,1.378961017831884,1,0,0,1,0,0,0,0,0,0
2,1,1.0712484128589217,5.0,1.123499903031645,0,0,1.3744211851204702,1,0,0,0,0,0,1,0,0,0
2,1,1.0654500277575525,0.0,1.0,1,1,1.372719729532214,1,0,0,1,0,0,0,0,0,0
2,2,1.0712484128589217,5.0,1.1447574547386097,1,0,1.359711646564487,1,0,1,0,0,0,0,0,0,0
2,1,1.072937349493929,3.0,1.1624243666483425,1,0,1.3744211851204702,1,0,0,0,1,0,0,0,0,0
2,1,1.0800081603531466,5.0,1.096675611268859,1,1,1.3383341736060024,1,1,0,0,0,0,0,0,0,0
2,1,1.072937349493929,0.0,1.0,1,0,1.3709080575834898,1,0,0,1,0,0,0,0,0,0
2,2,1.0675177691389857,3.0,1.096675611268859,1,0,1.3749656624250612,1,0,0,0,1,0,0,0,0,0
2,2,1.0694459239846008,3.0,1.0599527833972817,1,0,1.3754993957842918,1,0,0,0,1,0,0,0,0,0
3,1,1.0823293342120839,5.0,1.1908568493649683,1,1,1.3815947512642974,1,0,1,0,0,0,0,0,0,0
3,1,1.0774225157975732,3.0,1.096675611268859,1,1,1.3569125215141475,1,0,0,0,0,0,0,1,0,0
3,1,1.084425301488473,4.0,1.123499903031645,1,0,1.3709080575834898,1,0,0,1,0,0,0,0,0,0
2,1,1.0694459239846008,2.0,1.0599527833972817,1,0,1.3481342996874164,1,0,0,0,0,0,0,0,1,0
2,1,1.0774225157975732,3.0,1.123499903031645,0,0,1.368300388016594,1,0,1,0,0,0,0,0,0,0
2,1,1.0811991534115448,4.0,1.096675611268859,1,0,1.368300388016594,1,0,1,0,0,0,0,0,0,0
2,1,1.076015646255253,3.0,1.096675611268859,1,1,1.3709080575834898,1,0,0,0,1,0,0,0,0,0
2,1,1.0800081603531466,1.0,1.1624243666483425,1,0,1.3702776826880978,1,0,0,1,0,0,0,0,0,0
2,1,1.0787512011053229,3.0,1.096675611268859,0,0,1.3770393956388947,1,0,0,0,1,0,0,0,0,0
2,1,1.072937349493929,3.0,1.1908568493649683,1,0,1.3455722391108365,1,1,0,0,0,0,0,0,0,0
2,1,1.0774225157975732,2.0,1.096675611268859,1,0,1.3646842855292767,1,0,0,0,0,0,1,0,0,0
2,1,1.0712484128589217,5.0,1.123499903031645,1,0,1.3669050338642568,1,0,0,0,0,0,1,0,0,0
3,1,1.0872149376329303,5.0,1.2231422996927186,1,0,1.3505346857270213,1,1,0,0,0,0,0,0,0,0
3,1,1.0811991534115448,3.0,1.123499903031645,0,0,1.372719729532214,1,0,0,0,0,0,1,0,0,0
1,1,1.0632266200682057,4.0,1.096675611268859,1,0,1.360595094953084,1,1,0,0,0,0,0,0,0,0
2,2,1.0872149376329303,5.0,1.1447574547386097,1,0,1.357871453175231,1,0,1,0,0,0,0,0,0,0
2,1,1.0811991534115448,4.0,1.1447574547386097,1,0,1.3709080575834898,1,0,0,1,0,0,0,0,0,0
2,1,1.072937349493929,5.0,1.096675611268859,1,0,1.3702776826880978,1,0,0,1,0,0,0,0,0,0
3,1,1.0811991534115448,3.0,1.0599527833972817,1,0,1.3383341736060024,1,1,0,0,0,0,0,0,0,0
2,1,1.076015646255253,5.0,1.1447574547386097,1,0,1.3413857844487254,1,1,0,0,0,0,0,0,0,0
2,1,1.084425301488473,5.0,1.2026973963519254,1,0,1.357871453175231,1,0,1,0,0,0,0,0,0,0
2,1,1.0694459239846008,0.0,1.0,1,0,1.3754993957842918,1,0,0,0,1,0,0,0,0,0
2,1,1.0712484128589217,3.0,1.0599527833972817,1,0,1.3516792214038902,1,1,0,0,0,0,0,0,0,0
2,1,1.0675177691389857,5.0,1.123499903031645,0,0,1.3639072904844702,1,0,1,0,0,0,0,0,0,0
3,1,1.086327861191072,4.0,1.1908568493649683,1,1,1.378961017831884,1,0,0,1,0,0,0,0,0,0
2,2,1.0712484128589217,5.0,1.0599527833972817,0,0,1.3754993957842918,1,0,0,0,1,0,0,0,0,0
2,1,1.0853990115075853,3.0,1.232114942917733,1,0,1.3413857844487254,1,1,0,0,0,0,0,0,0,0
3,1,1.088874753313917,3.0,1.255427581430048,1,0,1.357871453175231,1,0,1,0,0,0,0,0,0,0
2,1,1.0608288684876919,0.0,1.0,0,0,1.372719729532214,1,0,0,1,0,0,0,0,0,0
2,1,1.0694459239846008,5.0,1.123499903031645,0,1,1.378018092849307,1,0,0,1,0,0,0,0,0,0
2,3,1.0811991534115448,2.0,1.123499903031645,0,0,1.3709080575834898,1,0,1,0,0,0,0,0,0,0
3,1,1.0872149376329303,4.0,1.1908568493649683,1,0,1.3749656624250612,1,0,0,0,0,1,0,0,0,0
3,2,1.088874753313917,5.0,1.2231422996927186,1,0,1.3784938958210884,1,0,1,0,0,0,0,0,0,0
2,1,1.0712484128589217,4.0,1.123499903031645,1,0,1.3784938958210884,1,0,0,0,1,0,0,0,0,0
2,1,1.0654500277575525,0.0,1.0,0,0,1.3721286344998427,1,0,0,0,0,0,1,0,0,0
3,1,1.0853990115075853,3.0,1.1447574547386097,1,0,1.3455722391108365,1,1,0,0,0,0,0,0,0,0
2,1,1.076015646255253,5.0,1.123499903031645,1,0,1.3798702060568093,1,0,0,1,0,0,0,0,0,0
2,1,1.0694459239846008,0.0,1.0,1,0,1.3468745446974844,1,0,0,0,0,0,0,0,1,0
3,1,1.0811991534115448,3.0,1.1624243666483425,1,0,1.3631106950720095,1,0,0,0,0,0,1,0,0,0
2,1,1.0800081603531466,3.0,1.2026973963519254,1,0,1.3383341736060024,1,1,0,0,0,0,0,0,0,0
2,1,1.0787512011053229,3.0,1.096675611268859,0,0,1.3639072904844702,1,0,1,0,0,0,0,0,0,0
2,1,1.0823293342120839,5.0,1.2231422996927186,0,1,1.3754993957842918,1,0,0,0,1,0,0,0,0,0
2,1,1.0823293342120839,5.0,1.1447574547386097,0,0,1.3702776826880978,1,0,0,0,0,0,1,0,0,0
3,1,1.0823293342120839,2.0,1.1775740736881788,0,1,1.372719729532214,1,0,0,0,1,0,0,0,0,0
3,3,1.0811991534115448,3.0,1.1775740736881788,1,0,1.3721286344998427,1,0,0,1,0,0,0,0,0,0
2,1,1.0787512011053229,5.0,1.0599527833972817,1,0,1.3614554650555442,1,0,0,0,0,0,1,0,0,0
2,1,1.08340332878289,5.0,1.123499903031645,0,0,1.378961017831884,1,0,0,1,0,0,0,0,0,0
2,1,1.076015646255253,3.0,1.1624243666483425,1,0,1.3413857844487254,1,1,0,0,0,0,0,0,0,0
2,1,1.0787512011053229,3.0,1.1775740736881788,1,0,1.3721286344998427,1,0,0,0,1,0,0,0,0,0
2,2,1.0853990115075853,3.0,1.0599527833972817,1,1,1.3744211851204702,1,0,0,0,0,1,0,0,0,0
2,1,1.076015646255253,3.0,1.123499903031645,0,0,1.3614554650555442,1,1,0,0,0,0,0,0,0,0
2,1,1.0811991534115448,3.0,1.123499903031645,1,0,1.3669050338642568,1,0,0,0,0,0,1,0,0,0
2,1,1.0954201641354515,5.0,1.2231422996927186,1,0,1.3383341736060024,1,1,0,0,0,0,0,0,0,0
2,1,1.0654500277575525,5.0,1.096675611268859,1,0,1.3721286344998427,1,0,0,1,0,0,0,0,0,0
2,1,1.0654500277575525,5.0,1.123499903031645,0,0,1.3754993957842918,1,0,0,0,0,0,1,0,0,0
2,1,1.0787512011053229,4.0,1.2026973963519254,1,0,1.3398880741148798,1,1,0,0,0,0,0,0,0,0
0,3,1.058234947032813,0.0,1.0,0,0,1.3732985906880881,1,0,0,1,0,0,0,0,0,0
2,1,1.072937349493929,5.0,1.1624243666483425,0,1,1.3754993957842918,1,0,0,1,0,0,0,0,0,0
2,1,1.0811991534115448,4.0,1.1908568493649683,1,0,1.3468745446974844,1,1,0,0,0,0,0,0,0,0
2,1,1.0694459239846008,4.0,1.0599527833972817,1,0,1.3709080575834898,1,0,0,1,0,0,0,0,0,0
2,1,1.0918014267867777,3.0,1.123499903031645,1,0,1.3468745446974844,1,1,0,0,0,0,0,0,0,0
2,1,1.076015646255253,4.0,1.1447574547386097,1,0,1.3815947512642974,1,0,1,0,0,0,0,0,0,0
2,1,1.0608288684876919,4.0,1.0599527833972817,1,0,1.3744211851204702,1,0,0,1,0,0,0,0,0,0
3,1,1.0787512011053229,5.0,1.1775740736881788,1,0,1.368300388016594,1,0,0,0,0,0,1,0,0,0
2,1,1.0745233261270706,3.0,1.1447574547386097,1,0,1.3398880741148798,1,0,0,0,0,0,0,0,1,0
3,1,1.0823293342120839,4.0,1.1624243666483425,1,0,1.3732985906880881,1,0,0,1,0,0,0,0,0,0
2,1,1.0745233261270706,4.0,1.096675611268859,0,0,1.3569125215141475,1,1,0,0,0,0,0,0,0,0
2,1,1.076015646255253,5.0,1.1624243666483425,1,0,1.3538657865427755,1,0,0,0,0,0,0,1,0,0
1,1,1.0787512011053229,5.0,1.1775740736881788,1,0,1.3493536732465354,1,1,0,0,0,0,0,0,0,0
3,1,1.086327861191072,5.0,1.248172917062261,1,0,1.3383341736060024,1,1,0,0,0,0,0,0,0,0
2,1,1.0800081603531466,4.0,1.1775740736881788,1,0,1.3505346857270213,1,1,0,0,0,0,0,0,0,0
2,1,1.084425301488473,3.0,1.2133888504649772,0,0,1.354911001514197,1,1,0,0,0,0,0,0,0,0
2,1,1.0811991534115448,3.0,1.2026973963519254,1,0,1.357871453175231,1,0,1,0,0,0,0,0,0,0
2,2,1.0853990115075853,3.0,1.123499903031645,1,0,1.362293701084016,1,0,0,0,0,0,1,0,0,0
2,1,1.076015646255253,5.0,1.2133888504649772,0,0,1.3646842855292767,1,0,1,0,0,0,0,0,0,0
3,1,1.0787512011053229,3.0,1.2026973963519254,0,0,1.3721286344998427,1,0,0,1,0,0,0,0,0,0
3,1,1.0964633080416935,5.0,1.1775740736881788,1,1,1.357871453175231,1,0,1,0,0,0,0,0,0,0
3,1,1.0853990115075853,4.0,1.2026973963519254,1,0,1.3669050338642568,1,0,0,0,0,0,1,0,0,0
3,1,1.0800081603531466,2.0,1.1908568493649683,1,0,1.3709080575834898,1,0,0,1,0,0,0,0,0,0
2,1,1.0654500277575525,5.0,1.123499903031645,1,0,1.3754993957842918,1,0,0,0,1,0,0,0,0,0
2,2,1.0694459239846008,0.0,1.0,1,0,1.3661824590668263,1,0,0,0,0,0,1,0,0,0
1,1,1.058234947032813,5.0,1.0599527833972817,0,0,1.360595094953084,1,1,0,0,0,0,0,0,0,0
1,1,1.0712484128589217,5.0,1.0599527833972817,1,0,1.3738656157866587,1,0,0,0,0,1,0,0,0,0
3,1,1.086327861191072,3.0,1.1447574547386097,1,0,1.359711646564487,1,0,1,0,0,0,0,0,0,0
3,1,1.0787512011053229,5.0,1.1775740736881788,0,0,1.3754993957842918,1,0,0,0,0,0,1,0,0,0
3,1,1.0823293342120839,4.0,1.2133888504649772,1,0,1.3784938958210884,1,1,0,0,0,0,0,0,0,0
3,1,1.088063048542943,3.0,1.2231422996927186,1,0,1.3516792214038902,1,1,0,0,0,0,0,0,0,0
2,2,1.0823293342120839,4.0,1.2026973963519254,1,0,1.3468745446974844,1,1,0,0,0,0,0,0,0,0
2,1,1.0694459239846008,5.0,1.1908568493649683,0,0,1.3760227184763127,1,0,0,0,1,0,0,0,0,0
3,1,1.08340332878289,5.0,1.1775740736881788,1,0,1.3669050338642568,1,0,0,0,0,0,1,0,0,0
3,1,1.086327861191072,3.0,1.2404270878813208,1,0,1.3749656624250612,1,0,0,0,0,1,0,0,0,0
3,1,1.076015646255253,2.0,1.2026973963519254,0,0,1.3765359497647018,1,0,0,0,0,0,1,0,0,0
2,1,1.072937349493929,3.0,1.1447574547386097,0,0,1.3749656624250612,1,0,0,0,0,0,1,0,0,0
3,1,1.0800081603531466,3.0,1.2026973963519254,1,0,1.3654424361987696,1,0,0,0,0,0,1,0,0,0
3,1,1.0774225157975732,5.0,1.096675611268859,0,0,1.3614554650555442,1,0,0,0,0,0,0,0,1,0
1,1,1.058234947032813,0.0,1.0,0,0,1.357871453175231,1,1,0,0,0,0,0,0,0,0
2,1,1.0787512011053229,3.0,1.1624243666483425,0,0,1.3738656157866587,1,0,0,0,0,0,1,0,0,0
3,1,1.0954201641354515,4.0,1.248172917062261,1,0,1.342830468462,1,1,0,0,0,0,0,0,0,0
3,1,1.0800081603531466,5.0,1.1908568493649683,1,0,1.342830468462,1,1,0,0,0,0,0,0,0,0
1,1,1.088063048542943,5.0,1.2231422996927186,1,0,1.3398880741148798,1,1,0,0,0,0,0,0,0,0
2,1,1.0675177691389857,5.0,1.123499903031645,0,0,1.3702776826880978,1,0,1,0,0,0,0,0,0,0
2,1,1.0823293342120839,5.0,1.2231422996927186,1,0,1.3588041195581453,1,0,1,0,0,0,0,0,0,0
3,1,1.084425301488473,3.0,1.096675611268859,1,0,1.3383341736060024,1,1,0,0,0,0,0,0,0,0
2,1,1.072937349493929,5.0,1.1624243666483425,1,0,1.3505346857270213,1,1,0,0,0,0,0,0,0,0
3,1,1.084425301488473,2.0,1.123499903031645,1,1,1.368300388016594,1,0,0,0,0,0,1,0,0,0
2,1,1.076015646255253,5.0,1.123499903031645,0,1,1.3815947512642974,1,0,0,0,0,0,1,0,0,0
2,1,1.0787512011053229,3.0,1.1624243666483425,1,0,1.3516792214038902,1,0,1,0,0,0,0,0,0,0
3,1,1.0811991534115448,3.0,1.1775740736881788,1,0,1.3760227184763127,1,0,0,1,0,0,0,0,0,0
2,1,1.0800081603531466,3.0,1.2133888504649772,1,0,1.3455722391108365,1,1,0,0,0,0,0,0,0,0
2,1,1.0608288684876919,0.0,1.0,1,0,1.3413857844487254,1,1,0,0,0,0,0,0,0,0
2,1,1.0745233261270706,5.0,1.1447574547386097,1,0,1.3516792214038902,1,0,0,0,0,0,0,1,0,0
3,1,1.0774225157975732,5.0,1.1775740736881788,1,0,1.3639072904844702,1,0,0,0,0,0,1,0,0,0
3,1,1.0853990115075853,5.0,1.248172917062261,1,1,1.3749656624250612,1,0,0,1,0,0,0,0,0,0
2,1,1.0712484128589217,4.0,1.0,1,0,1.372719729532214,1,0,0,0,1,0,0,0,0,0
1,1,1.058234947032813,0.0,1.0,1,0,1.3413857844487254,1,1,0,0,0,0,0,0,0,0
1,1,1.0800081603531466,4.0,1.0599527833972817,0,1,1.3661824590668263,1,0,1,0,0,0,0,0,0,0
3,1,1.076015646255253,4.0,1.1775740736881788,1,0,1.3807475374652163,1,0,0,1,0,0,0,0,0,0
2,1,1.0800081603531466,5.0,1.123499903031645,0,0,1.368300388016594,1,0,1,0,0,0,0,0,0,0
2,1,1.0675177691389857,5.0,1.1447574547386097,1,0,1.3760227184763127,1,0,0,0,1,0,0,0,0,0
2,1,1.0745233261270706,5.0,1.0599527833972817,1,0,1.3661824590668263,1,0,0,0,0,0,1,0,0,0
2,1,1.076015646255253,5.0,1.1775740736881788,1,0,1.3654424361987696,1,0,0,0,0,0,1,0,0,0
2,1,1.0823293342120839,3.0,1.1908568493649683,0,0,1.3559261283610535,1,1,0,0,0,0,0,0,0,0
3,1,1.0823293342120839,3.0,1.1775740736881788,0,0,1.3559261283610535,1,1,0,0,0,0,0,0,0,0
2,1,1.088874753313917,5.0,1.096675611268859,0,0,1.3538657865427755,1,1,0,0,0,0,0,0,0,0
2,1,1.0654500277575525,5.0,1.1447574547386097,1,0,1.378961017831884,1,1,0,0,0,0,0,0,0,0
2,1,1.0954201641354515,4.0,1.232114942917733,1,0,1.3413857844487254,1,1,0,0,0,0,0,0,0,0
2,1,1.072937349493929,4.0,1.1624243666483425,1,1,1.3559261283610535,1,0,1,0,0,0,0,0,0,0
2,1,1.0774225157975732,5.0,1.096675611268859,1,0,1.3784938958210884,1,0,0,0,1,0,0,0,0,0
2,1,1.0853990115075853,3.0,1.123499903031645,1,0,1.3631106950720095,1,0,0,0,0,0,1,0,0,0
2,1,1.0694459239846008,3.0,1.0599527833972817,1,0,1.3765359497647018,1,0,0,0,1,0,0,0,0,0
2,1,1.08340332878289,5.0,1.096675611268859,1,0,1.3654424361987696,1,0,0,0,0,0,1,0,0,0
2,2,1.0800081603531466,3.0,1.096675611268859,0,0,1.378961017831884,1,0,0,0,0,0,1,0,0,0
2,1,1.0712484128589217,4.0,1.123499903031645,1,0,1.3732985906880881,1,0,0,1,0,0,0,0,0,0
2,1,1.0654500277575525,5.0,1.123499903031645,1,0,1.3709080575834898,1,0,0,1,0,0,0,0,0,0
2,1,1.0712484128589217,4.0,1.123499903031645,1,0,1.3721286344998427,1,0,0,0,1,0,0,0,0,0
3,1,1.0954201641354515,3.0,1.232114942917733,1,0,1.3493536732465354,1,1,0,0,0,0,0,0,0,0
3,1,1.08340332878289,5.0,1.1624243666483425,0,0,1.3715248892057372,1,0,1,0,0,0,0,0,0,0
2,1,1.072937349493929,3.0,1.1624243666483425,0,0,1.372719729532214,1,0,0,1,0,0,0,0,0,0
2,1,1.0774225157975732,3.0,1.123499903031645,1,0,1.3732985906880881,1,0,0,0,1,0,0,0,0,0
2,1,1.0903980989549493,5.0,1.2026973963519254,0,1,1.3770393956388947,1,0,1,0,0,0,0,0,0,0
2,1,1.084425301488473,3.0,1.1447574547386097,1,0,1.354911001514197,1,0,1,0,0,0,0,0,0,0
2,2,1.072937349493929,3.0,1.1447574547386097,0,0,1.3754993957842918,1,0,0,0,1,0,0,0,0,0
3,1,1.0872149376329303,5.0,1.232114942917733,1,0,1.3702776826880978,1,0,0,1,0,0,0,0,0,0
2,1,1.0654500277575525,3.0,1.0599527833972817,0,0,1.3749656624250612,1,0,0,0,1,0,0,0,0,0
2,1,1.0787512011053229,3.0,1.096675611268859,1,1,1.3689743630856306,1,0,0,1,0,0,0,0,0,0
2,1,1.0800081603531466,3.0,1.1775740736881788,0,0,1.3770393956388947,1,0,0,1,0,0,0,0,0,0
2,1,1.0974384658665914,3.0,1.123499903031645,1,0,1.3468745446974844,1,1,0,0,0,0,0,0,0,0
3,1,1.084425301488473,3.0,1.1775740736881788,1,0,1.3669050338642568,1,0,0,0,0,0,1,0,0,0
2,1,1.086327861191072,5.0,1.1775740736881788,1,1,1.3669050338642568,1,0,0,0,0,0,1,0,0,0
3,1,1.0787512011053229,5.0,1.2026973963519254,1,0,1.3455722391108365,1,1,0,0,0,0,0,0,0,0
3,1,1.0872149376329303,3.0,1.1447574547386097,1,0,1.3732985906880881,1,0,0,0,1,0,0,0,0,0
2,2,1.0694459239846008,5.0,1.1447574547386097,0,0,1.3738656157866587,1,0,0,0,1,0,0,0,0,0
2,2,1.095950680098192,5.0,1.2748024528478872,0,0,1.3661824590668263,1,0,1,0,0,0,0,0,0,0
2,2,1.0694459239846008,0.0,1.0,1,0,1.3749656624250612,1,0,0,0,1,0,0,0,0,0
3,1,1.0872149376329303,3.0,1.1447574547386097,0,0,1.372719729532214,1,0,0,1,0,0,0,0,0,0
1,2,1.058234947032813,3.0,1.0599527833972817,1,0,1.3468745446974844,1,1,0,0,0,0,0,0,0,0
2,1,1.0654500277575525,5.0,1.096675611268859,1,0,1.3715248892057372,1,0,0,1,0,0,0,0,0,0
2,3,1.0712484128589217,4.0,1.123499903031645,1,0,1.3527890399129072,1,0,1,0,0,0,0,0,0,0
1,1,1.0694459239846008,0.0,1.0,0,0,1.3631106950720095,1,1,0,0,0,0,0,0,0,0
2,1,1.0787512011053229,4.0,1.096675611268859,1,0,1.3715248892057372,1,0,0,1,0,0,0,0,0,0
2,1,1.0675177691389857,3.0,1.0599527833972817,1,1,1.3803127420255474,1,1,0,0,0,0,0,0,0,0
2,1,1.076015646255253,4.0,1.1908568493649683,0,0,1.359711646564487,1,1,0,0,0,0,0,0,0,0
2,1,1.072937349493929,2.0,1.123499903031645,0,0,1.3569125215141475,1,1,0,0,0,0,0,0,0,0
2,1,1.0712484128589217,5.0,1.1447574547386097,1,0,1.3661824590668263,1,0,0,0,0,0,1,0,0,0
2,1,1.086327861191072,5.0,1.096675611268859,1,0,1.342830468462,1,1,0,0,0,0,0,0,0,0
2,1,1.072937349493929,0.0,1.0,1,0,1.3744211851204702,1,0,0,1,0,0,0,0,0,0
2,1,1.0745233261270706,3.0,1.1624243666483425,1,1,1.3367206543549497,1,1,0,0,0,0,0,0,0,0
2,1,1.072937349493929,1.0,1.123499903031645,0,0,1.3749656624250612,1,0,0,0,0,0,1,0,0,0
